Overall Results,,,Results By Team,,,
Date,Location,Result,Date,Opponent,Result,Attendance
09/23/2025,"Providence, RI",Brown 1 - 1 Providence,11/23/2025,at UConn,L 1-3,2048
09/23/2025,"South Orange, N.J.",Princeton 3 - 1 Seton Hall,,,,
09/20/2025,"Durham, NH",Dartmouth 1 - 2 New Hampshire,* = Conference game,,,
09/20/2025,"Amherst, Mass.",Yale 2 - 2 Massachusetts,,,,
09/20/2025,"Philadelphia, Pa.",Penn 2 - 0 Air Force,"Dartmouth (3-8-3, 2-5-0)",,,
09/20/2025,"Providence, RI",Brown 4 - 1 UMass Lowell,Date,Opponent,Result,Attendance
09/20/2025,ITHACA,Cornell 3 - 0 NJIT,08/29/2025,New Haven,T 1-1,251
09/20/2025,0,Princeton 2 - 0 UAlbany,09/02/2025,Bryant,L 0-1,231
09/18/2025,"Teaneck, N.J.",Columbia 0 - 1 FDU,09/09/2025,at Vermont,T 3-3,2671
09/17/2025,"Hanover, N.H.",Dartmouth 3 - 2 Northeastern,09/13/2025,Merrimack,T 1-1,711
09/16/2025,"Philadelphia, Pa.",Penn 3 - 3 Drexel,09/17/2025,Northeastern,W 3-2,370
09/16/2025,"Cambridge, Mass.",Harvard 1 - 0 New Hampshire,09/20/2025,at New Hampshire,L 1-2,1009
09/16/2025,"Kingston, RI",Brown 1 - 0 Rhode Island,09/27/2025,* at Brown,L 1-2,323
09/16/2025,"Princeton, NJ",Princeton 2 - 0 Massachusetts,10/04/2025,* Cornell,L 2-6,1315
09/15/2025,"San Diego, CA",Yale 0 - 2 San Diego St.,10/11/2025,* at Columbia,W 2-1,265
09/15/2025,"New York, N.Y.",Columbia 2 - 0 Manhattan,10/18/2025,* at Yale,W 1-0,273
09/13/2025,"Hanover, N.H.",Dartmouth 1 - 1 Merrimack,10/21/2025,at Massachusetts,L 0-2,102
09/13/2025,"Storrs, Conn.",Harvard 1 - 1 UConn,10/25/2025,* Penn,L 0-2,911
09/13/2025,ITHACA,Cornell 3 - 0 Western Mich.,11/01/2025,* at Princeton,L 0-1,604
09/13/2025,"Villanova, Pa.",Princeton 3 - 0 Villanova,11/08/2025,* Harvard,L 1-3,1302
09/12/2025,"Irvine, Calif.",Yale 0 - 1 UC Irvine,,,,
09/12/2025,"Philadelphia, Pa.",Penn 0 - 1 VCU,* = Conference game,,,
09/10/2025,"Fairfield, Conn.",Columbia 1 - 1 Fairfield,,,,
09/10/2025,"Cambridge, Mass.",Harvard 3 - 1 California,"Harvard (6-6-5, 2-3-2)",,,
09/10/2025,"Providence, RI",Brown 1 - 3 UConn,Date,Opponent,Result,Attendance
09/10/2025,"Princeton, NJ",Princeton 0 - 1 Hofstra,08/29/2025,Belmont,L 0-1,629
09/09/2025,"Burlington, VT",Dartmouth 3 - 3 Vermont,09/05/2025,at Providence,W 2-0,821
09/09/2025,"Newark, Del",Penn 0 - 1 Delaware,09/10/2025,California,W 3-1,384
09/08/2025,"Irvine, Calif.",Cornell 0 - 1 UC Irvine,09/13/2025,at UConn,T 1-1,3375
09/07/2025,"New Haven, CT",Yale 2 - 2 Quinnipiac,09/16/2025,New Hampshire,W 1-0,328
09/05/2025,"New York, NY",Columbia 0 - 0 Villanova,09/23/2025,Northeastern,T 0-0,317
09/05/2025,"South Orange, NJ",Penn 0 - 0 Seton Hall,09/27/2025,* Princeton,L 0-1,914
09/05/2025,0,Harvard 2 - 0 Providence,09/30/2025,Boston U.,L 2-3,354
09/05/2025,"Boston, MA",Brown 1 - 3 Boston U.,10/04/2025,* at Penn,L 0-2,253
09/05/2025,"Santa Barbara, Calif.",Cornell 1 - 0 UC Santa Barbara,10/07/2025,Vermont,T 0-0,1636
09/05/2025,"Princeton, N.J.",Princeton 3 - 1 Rutgers,10/11/2025,* Yale,T 1-1,917
09/02/2025,"Hanover, N.H.",Dartmouth 0 - 1 Bryant,10/18/2025,* Brown,W 4-2,564
09/01/2025,"New Haven, CT",Yale 0 - 1 Syracuse,10/22/2025,at Stonehill,W 4-2,145
09/01/2025,0,Brown 1 - 0 Fairfield,10/25/2025,* at Columbia,L 1-3,351
08/30/2025,"Syracuse, N.Y.",Cornell 3 - 0 Le Moyne,11/01/2025,* Cornell,T 0-0,726
08/29/2025,"Hanover, NH",Dartmouth 1 - 1 New Haven,11/08/2025,* at Dartmouth,W 3-1,1302
08/29/2025,0,Yale 1 - 3 Sacred Heart,11/13/2025,at Princeton,L 1-3,634
08/29/2025,"Bethlehem, Pa.",Columbia 1 - 2 Lehigh,,,,
08/29/2025,"Philadelphia, Pa.",Penn 4 - 0 Loyola Maryland,* = Conference game,,,
